We adjusted product quantities to fit the required increments,We adjusted product quantities to fit the required increments
We found an invalid request for adding product to quote,We found an invalid request for adding product to quote
Product that you are trying to add is not available,Product that you are trying to add is not available
We found an invalid item option format,We found an invalid item option format
Item qty declaration error,Item qty declaration error
Some of the products below do not have all the required options,Some of the products below do not have all the required options
Something went wrong during the item options declaration,Something went wrong during the item options declaration
We found an item options declaration error,We found an item options declaration error
Some of the selected options are not currently available,Some of the selected options are not currently available
Selected option(s) or their combination is not currently available,Selected option(s) or their combination is not currently available
Some item options or their combination are not currently available,Some item options or their combination are not currently available
unavailable-configuration,unavailable-configuration
An item option with code %1 already exists,An item option with code %1 already exists
Action is blocked due to quotation proposal is locked.To update item in the Shopping cart ,Action is blocked due to quotation proposal is locked.To update item in the Shopping cart 
log out,log out
from Quotation confirmation mode,from Quotation confirmation mode
Load customer quote error,Load customer quote error
Quote Currency,Quote Currency
Product Name,Product Name
Configure,Configure
SKU:,SKU:
Original Price,Original Price
Cost Price,Cost Price
Price,Price
Remove Item,Remove Item
Quote & Account Information,Quote & Account Information
Quote # %1,Quote # %1
Quote Date (%1),Quote Date (%1)
Quote Status,Quote Status
Quotation Requested From,Quotation Requested From
Account Information,Account Information
Edit Customer,Edit Customer
Customer Name,Customer Name
Customer Group,Customer Group
Add File To Quote,Add File To Quote
Remove Attachment,Remove Attachment
Address Information,Address Information
Billing Address,Billing Address
Add billing address,Add billing address
Shipping Address,Shipping Address
Add shipping address,Add shipping address
Comment,Comment
Action,Action
Row Total,Row Total
Margin (GP),Margin (GP)
Total,Total
product(s),product(s)
Sub Total,Sub Total
Update Items and Quantities,Update Items and Quantities
Add Products,Add Products
Message History,Message History
By,By
System Message,System Message
Customer Notified,Customer Notified
Customer Not Notified,Customer Not Notified
Notify Customer by Email ,Notify Customer by Email 
Attach Files,Attach Files
Send Message,Send Message
Quote Totals,Quote Totals
Subtotal Original (Excluded Tax),Subtotal Original (Excluded Tax)
Adjustment Quotation,Adjustment Quotation
Subtotal (Excluded Tax),Subtotal (Excluded Tax)
Grand Total (Excluded Tax),Grand Total (Excluded Tax) 
Submit Proposal,Submit Proposal
Create Order,Create Order
Update Quote,Update Quote
Proposal,Proposal
Quote Address Information,Quote Address Information
Reject Proposal,Reject Proposal
Edit Quote,Edit Quote
Confirm and Checkout,Confirm and Checkout
Quote Attachments,Quote Attachments
Proposal Base Price (Excluded Tax),Proposal Base Price (Excluded Tax)
Print PDF,Print PDF
Quote #,Quote #
Date,Date
Status,Status
Actions,Actions
View Quote,View Quote
You have placed no quotes,You have placed no quotes
Please sign in with your email addres to view quotes,Please sign in with your email addres to view quotes
Quote Items,Quote Items
Items,Items
 Original Base Price(Excluded Tax), Original Base Price(Excluded Tax)
Add to Cart,Add to Cart
Add to Quote,Add to Quote
In stock,In stock
Out of stock,Out of stock
We can\'t find products matching the selection,We can\'t find products matching the selection
Add to Wish List,Add to Wish List
Add to Compare,Add to Compare
Learn More,Learn More
Excl. Tax,Excl. Tax
Item,Item
See price before quote confirmation,See price before quote confirmation
Remove,Remove
Add Qty,Add Qty
Login For Request Quote,Login For Request Quote
Shipping Address Detail,Shipping Address Detail
Use as Default,Use as Default
Add New Address ,Add New Address 
Billing Address Detail,Billing Address Detail
Submit Quote,Submit Quote
Note: Please set default shipping and billing address to continue quote request ,Note: Please set default shipping and billing address to continue quote request 
you can set from,you can set from
here,here
Request Information,Request Information
Clear Quote,Clear Quote
Update Quotation,Update Quotation
My Quote,My Quote
You have no items in your quote,You have no items in your quote
Click,Click
to continue shopping,to continue shopping
Adding to Quote...,Adding to Quote...
